,tv_value,num
0,1.0,1
1,4.0,1
2,5.0,1
3,7.0,1
4,8.0,2
5,9.0,2
6,12.0,1
7,13.0,2
8,17.0,3
9,18.0,1
10,19.0,3
11,20.0,1
12,24.0,1
13,25.0,2
14,26.0,1
15,27.0,1
16,28.0,1
17,29.0,1
18,32.0,1
19,37.0,1
20,38.0,2
21,40.0,1
22,43.0,2
23,45.0,2
24,48.0,1
25,50.0,1
26,54.0,1
27,56.0,1
28,58.0,1
29,60.0,1
30,62.0,1
31,66.0,1
32,67.0,1
33,68.0,2
34,69.0,2
35,71.0,1
36,73.0,1
37,75.0,3
38,76.0,4
39,78.0,1
40,80.0,1
41,86.0,1
42,87.0,1
43,88.0,1
44,90.0,2
45,94.0,2
46,96.0,2
47,97.0,1
48,98.0,1
49,100.0,1
50,103.0,1
51,105.0,1
52,107.0,1
53,110.0,2
54,111.0,1
55,113.0,1
56,116.0,1
57,117.0,1
58,120.0,1
59,121.0,2
60,123.0,1
61,126.0,1
62,129.0,1
63,131.0,1
64,132.0,1
65,134.0,1
66,135.0,1
67,136.0,1
68,138.0,1
69,139.0,2
70,140.0,2
71,141.0,1
72,143.0,1
73,147.0,1
74,150.0,2
75,152.0,1
76,157.0,1
77,163.0,1
78,164.0,1
79,165.0,1
80,166.0,1
81,167.0,1
82,168.0,1
83,170.0,1
84,171.0,1
85,173.0,1
86,175.0,1
87,176.0,1
88,177.0,2
89,181.0,1
90,183.0,1
91,185.0,2
92,188.0,3
93,191.0,1
94,193.0,1
95,194.0,1
96,195.0,1
97,198.0,2
98,199.0,2
99,200.0,2
